sim#;thickness;TransportTimeAfterHeating;EnforcedTemperatureOfEntireSheet;QuenchingTimeInTool;QuenchingForce;spacing;DefaultToolTemperature;HARDNESS P1;HARDNESS P2;HARDNESS P3;THICKNESS P1;THICKNESS P2;THICKNESS P3;RUECKFEDERUNG P4;RUECKFEDERUNG P5;;;| AutoForm-SIGMA: Scatter Data Dump (MIME: text/csv)
1;1.45;10;900;2;500000;0.1;80;464.3333435;429.6666565;463;1.302408814;1.41796875;1.428059936;-0.374555051;-0.366906867;;;"| File: 	""D:/SIMU/Lieber/Maschinelles_Lernen/ML_Schweller_1000.afd"""
2;1.55;25;950;10;2000000;2;300;441.3333435;412.3333435;432.3333435;1.399414063;1.520507813;1.526367188;-0.206423103;-0.180412626;;;"| SigmaCore-ID: 	4BCAAF265C2A78DB-B15D39B998A6E225-3EA1236F4DB4C972"
3;1.456216946;20.99769511;933.9074196;3.936515141;573138.1455;0.111816616;123.9519998;419;412;420.3333435;1.316731811;1.431640625;1.435221314;0.049283392;0.0775685;;;"| TimeStamp: 	UTC/ISO_2018-05-03T12:47:51.053791"
4;1.46688652;14.69423431;946.7911388;9.991995888;1861852.386;1.637870974;283.7022178;459.3333435;460.6666565;469;1.317708373;1.437825561;1.444986939;-0.403665689;-0.402964212;;;"| Result: 	HARDNESS"
5;1.451492493;21.00060903;946.8940222;5.155950071;683403.1477;0.645437298;160.9714004;429.3333435;427.3333435;436.3333435;1.309244752;1.429036498;1.431315064;-0.100511647;-0.093657228;;;"| Layer: 	0"
6;1.469938454;22.61117213;939.3350408;5.405961177;1021667.816;1.172971062;283.0385678;427.6666565;427;404;1.328125;1.446940064;1.44921875;-0.323009501;-0.248050751;;;"| Increment: 	54"
7;1.480735373;10.55520434;905.9955583;6.935412966;889988.3147;1.47837712;136.9674237;467.6666565;450.6666565;469;1.332356811;1.452148438;1.458007813;-0.098428067;-0.086138797;;;"| Data type: 	RAW scatter data of single element."
8;1.540763272;20.12417037;938.2290043;4.760278168;1593742.539;1.718906682;236.5514393;406.6666565;429;435;1.383789063;1.511393189;1.516276002;-0.34134724;-0.277509315;;;"| Element-ID: 	15015"
9;1.472454663;12.78916641;926.5608088;4.217327172;730675.5895;0.284811934;190.3911105;464.6666565;459.3333435;471;1.325195313;1.444986939;1.449869752;-0.290269773;-0.311573253;;;
10;1.499459526;15.3400017;922.657272;9.920508815;1702510.86;1.384405282;88.81727603;444.3333435;453.3333435;458;1.351236939;1.469401002;1.475585938;-0.100269215;0.008127044;;;
11;1.474196758;22.5841117;938.0030777;4.495634976;1294512.805;1.107948698;285.8241482;406.6666565;417;405.3333435;1.333658814;1.450195313;1.453125;-0.367316259;-0.255791806;;;
12;1.450100223;16.78839437;927.4853874;3.616839293;629692.5839;1.931574737;120.3779265;425.3333435;437;447.3333435;1.307617188;1.427734375;1.430013061;-0.186282066;-0.183798023;;;
13;1.497566979;20.23022904;926.1565178;3.797003143;1948893.178;0.633152633;178.8087338;418;412.6666565;419;1.348307252;1.471354127;1.475585938;-0.237421939;-0.207702097;;;
14;1.512475988;23.44128138;938.5894252;7.966710193;757575.7932;1.049028968;240.6228296;402.3333435;391;401;1.364583373;1.487304688;1.489908814;-0.149455417;-0.140001949;;;
15;1.516055168;24.41346852;933.90154;2.446416393;1887360.076;0.195169776;243.0236306;394.3333435;395;386.6666565;1.364257813;1.486328125;1.493164063;-0.371334407;-0.438227979;;;
16;1.503314205;24.18981878;946.3482461;5.802457891;551135.3523;0.413010711;94.69100401;415.6666565;419.6666565;415.3333435;1.353515625;1.478515625;1.48046875;0.129817126;0.138178415;;;
17;1.533092237;16.22209845;900.5202823;2.672403853;983745.6459;0.568181403;99.15469874;420.3333435;414;424.3333435;1.376627564;1.501953125;1.509440064;-0.235601997;-0.260612719;;;
18;1.530795137;20.29450963;908.9920491;9.215948896;1624266.783;1.039024995;273.8348699;388;379.6666565;385;1.37890625;1.502604127;1.5078125;-0.215810071;-0.193643712;;;
19;1.458417542;18.86230593;907.4779541;5.259168047;986600.913;1.202937312;131.8163641;401;393.6666565;403.3333435;1.318684936;1.436197877;1.4375;-0.057575029;-0.05624005;;;
20;1.471516019;18.38382111;901.3013737;3.036404003;1736302.183;0.168538328;132.3426917;395;391;398;1.329101563;1.444335938;1.450195313;-0.155847367;-0.11612805;;;
21;1.496218138;23.04643198;926.6843938;4.285450423;1299418.839;0.652856045;220.5773061;392.3333435;382.6666565;392;1.350585938;1.471028686;1.474283814;-0.231739237;-0.209533309;;;
22;1.540585351;14.90478891;900.1224913;7.841452513;798533.8801;1.222621754;257.5257306;398;411;423.3333435;1.378255248;1.509765625;1.515299439;-0.32298315;-0.342974467;;;
